"Code","Company","Sector","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)"
"A2M","The a2 Milk Company Ltd","Consumer Staples","12,229,700,000",-0.0421880075778243,0.330662053091551,0.44451541659866,0.0512100901033699
"ABC","Adelaide Brighton Ltd","Materials","1,349,070,000",-0.0234543149907035,0.931630667420995,0.304433093366561,0.624129221656182
"ABP","Abacus Property Group","Real Estate","1,529,190,000",-0.00305385306433772,0.983462752627093,0.898369556624632,0.91019193101297
"AGL","AGL Energy Ltd","Utilities","10,865,100,000",-0.0504398466303578,0.646712556509755,0.00874989920414944,0.00299683490071096
"ALL","Aristocrat Leisure Ltd","Consumer Discretionary","13,632,900,000",0.0453014757001233,1.18131722994783,0.0779152857156655,0.246076144511861
"ALQ","Als Ltd","Industrials","2,682,290,000",0.0206560071861685,1.13220859906257,0.536759099005003,0.519129562437894
"ALU","Altium Ltd","Information Technology","3,744,310,000",0.0183121517781731,0.914557205675635,0.630432302378219,0.714171748617764
"ALX","Atlas Arteria","Industrials","4,843,420,000",-0.0106463919005184,0.866709481832717,0.644720477171195,0.347911609902841
"AMC","Amcor Plc","Materials","13,198,700,000",-0.03391032642957,0.777755591125107,0.0542329721363246,0.0401000785608861
"AMP","AMP Ltd","Financials","4,587,860,000",-0.0204503557288484,1.03280649967354,0.401464813740133,0.82575500661675
"ANN","Ansell Ltd","Health Care","3,503,360,000",0.00596123311543501,1.02934664782496,0.806460405033502,0.844052810964501
"ANZ","Australia and New Zealand Banking Group Ltd","Financials","48,101,600,000",0.0127692751679659,1.13436551611368,0.477288651611029,0.22465998347019
"APA","APA Group","Utilities","12,105,700,000",-0.0207490908791434,0.835370879339206,0.309194847036625,0.189600656344005
"APE","AP Eagers Ltd","Consumer Discretionary","778,507,000",0.04269414521236,1.39877888079717,0.434963634453431,0.236020259284278
"APT","Afterpay Ltd","Information Technology","5,001,250,000",0.135570397810626,1.55158256467776,0.0634028933081942,0.226684792891303
"APX","Appen Ltd","Information Technology","2,395,270,000",0.023054300510229,0.771216262753726,0.676720890416249,0.500359755231632
"ARB","ARB Corporation Ltd","Consumer Discretionary","1,140,780,000",-0.0114694078557231,0.922684987739023,0.522516212934548,0.482224413848606
"ASB","Austal Ltd","Industrials","1,037,530,000",0.015926440990735,1.04781309767722,0.691530734091208,0.845889315249654
"AST","Ausnet Services Ltd","Utilities","6,372,900,000",-0.0427504068875053,0.68553199340638,0.0317834684015701,0.0106689766447455
"ASX","ASX Ltd","Financials","14,924,300,000",-0.0201628154682671,0.788049393684507,0.311674034639165,0.0855573158293302
"AVH","Avita Medical Ltd","Health Care","1,087,520,000",0.0759934393080675,1.27658340458318,0.254216767341516,0.49693879004112
"AWC","Alumina Ltd","Materials","4,204,570,000",-0.0217076206837698,0.846894061765196,0.445656456046164,0.380744009766124
"AZJ","Aurizon Holdings Ltd","Industrials","8,158,870,000",-0.022127967389707,0.861062759461284,0.381151335046646,0.369921730766687
"BAP","Bapcor Ltd","Consumer Discretionary","1,168,680,000",-0.0290558055282721,0.769064982631586,0.264152389236555,0.149323505183011
"BEN","Bendigo and Adelaide Bank Ltd","Financials","3,299,770,000",0.00180211269034371,1.06384696340291,0.941037318776481,0.669359297937061
"BGA","Bega Cheese Ltd","Consumer Staples","981,242,000",-0.0488011983776623,0.682248420420104,0.215076729365193,0.18841985571467
"BHP","BHP Group Ltd","Materials","85,370,800,000",-0.0145690904173132,0.893186219886312,0.586972466981223,0.516245747958733
"BIN","Bingo Industries Ltd","Industrials","1,242,240,000",0.0608090775048798,1.39434538734714,0.19140690816359,0.182140111011376
"BKL","Blackmores Ltd","Consumer Staples","1,268,990,000",-0.1060462035244,0.310623395655831,0.0566037319554054,0.0436896490747279
"BKW","Brickworks Ltd","Materials","1,980,680,000",-0.0123090627523503,0.926373378258837,0.52381202723935,0.534003312616694
"BLD","Boral Ltd","Materials","2,403,280,000",0.0466159528518281,1.40949653846371,0.217681099496256,0.0794992469828062
"BOQ","Bank of Queensland Ltd","Financials","2,271,680,000",-0.013422213591698,0.996760810431734,0.608151663005563,0.983881650323581
"BPT","Beach Energy Ltd","Energy","2,622,930,000",0.0881227685276222,1.56902833226659,0.134931924674261,0.115819090137795
"BRG","Breville Group Ltd","Consumer Discretionary","2,200,850,000",0.0470120787199599,1.20822733866711,0.181978583052653,0.333156231584297
"BSL","Bluescope Steel Ltd","Materials","4,337,720,000",0.0266820572489561,1.07628929163365,0.523787431725513,0.765937750845072
"BVS","Bravura Solutions Ltd","Information Technology","943,163,000",-0.0346535752479497,0.589422423444101,0.376941262782814,0.0992781848974472
"BWP","BWP Trust","Real Estate","2,151,990,000",-0.039192895749646,0.724525441695487,0.023081390187136,0.00970196608536644
"BXB","Brambles Ltd","Industrials","16,150,900,000",-0.0159458465312934,0.898078264967874,0.482911753581858,0.46463999792556
"CAR","Carsales.com Ltd","Communication Services","2,881,900,000",0.0189340826524366,1.10283041124251,0.355040232026186,0.412316249564058
"CBA","Commonwealth Bank of Australia","Financials","109,436,000,000",-0.00125050125640917,1.00511840983087,0.934664230599897,0.956359588598503
"CCL","Coca-Cola Amatil Ltd","Consumer Staples","6,400,160,000",0.0122024090660297,1.07752242611283,0.557879293812096,0.543806862264791
"CCP","Credit Corp Group Ltd","Financials","751,829,000",0.101108863909574,1.63518039172832,0.0241722492202879,0.0210487549479007
"CGC","Costa Group Holdings Ltd","Consumer Staples","1,102,280,000",-0.0824443734502862,0.415774621149952,0.0543247075614772,0.0284112496036493
"CGF","Challenger Ltd","Financials","2,449,200,000",0.0436627885761767,1.33405543823406,0.301500577324983,0.198524911103665
"CHC","Charter Hall Group","Real Estate","3,195,230,000",0.0460155088053667,1.24133170337004,0.10679791023363,0.16645401653748
"CIM","Cimic Group Ltd","Industrials","7,526,650,000",-0.097652251951291,0.35830571296429,0.00554066834072621,0.00309519941597889
"CKF","Collins Foods Ltd","Consumer Discretionary","631,870,000",-0.00825721336405424,0.858566775732976,0.828647509018688,0.546027780822655
"CLW","Charter Hall Long Wale REIT","Real Estate","2,142,020,000",-0.00345303468014135,0.92914775966398,0.835663947424906,0.498332433418116
"CMW","Cromwell Property Group","Real Estate","2,090,300,000",-0.00616036364215894,0.96101624479463,0.707029582942982,0.698114852549331
"CNU","Chorus Ltd","","2,932,920,000",-0.0254051083878817,0.730922157625509,0.364228586878354,0.119716523405812
"COE","Cooper Energy Ltd","Energy","691,325,000",0.00878879351952019,0.994719282182497,0.837168402748871,0.983930088933684
"COH","Cochlear Ltd","Health Care","12,018,500,000",-0.000928668543292343,0.90895784161183,0.966361572577906,0.501026440754589
"COL","Coles Group Ltd","Consumer Staples","20,222,400,000",-0.0564802146711236,0.206783874047068,0.226948228572969,0.0610221724828429
"CPU","Computershare Ltd","Information Technology","5,251,940,000",0.00728923317758903,1.07242012793607,0.767845056969656,0.632656314587235
"CQR","Charter Hall Retail REIT","Real Estate","1,449,450,000",-0.0169985873799589,0.902368224728909,0.389655158509388,0.42018813270276
"CSL","CSL Ltd","Health Care","134,707,000,000",0.00846384908540035,0.926669542086063,0.698109419955703,0.583913417184141
"CSR","CSR Ltd","Materials","1,538,660,000",0.0588079066231583,1.3907563076794,0.0299049794444668,0.0190503113963673
