"Code","Company","Market Cap","alpha","beta","alpha(0) ~ Pr(>|t|)","beta(1) ~ Pr(>|t|)","alpha.rtns","Exp.Rtn","Exp.Rtn.SD","Rtn.SD","Sharpe","RP.Exp.Rtn","RP.Exp.Rtn.SE","RP.Rtn.SD","RP.Sharpe","Rep. Port. Superior?"
"ABW","Aurora Absolute Return Fund","1,544,850",-0.0296922038022246,0.113969282242685,0.310134696147354,0.174865275857845,"FALSE",-0.0305455872550741,0.0287422948229494,0.21889479591343,-0.139544602363021,-2.38453385033212e-05,0.000678710450181078,0.00516890479315784,-0.00461322842217672,"TRUE"
"ACQ","Acorn Capital Investment Fund Ltd","42,683,000",-5.28405471735894e-05,0.89865942598634,0.997053075811561,0.750229469339809,"FALSE",-0.0010704015900683,0.0150976114631104,0.114979983343539,-0.00930946029858201,-0.00018802292854854,0.00535170119148318,0.0407573420047174,-0.00461322842217672,"TRUE"
"ACR","ACRUX Ltd","18,532,100",-0.0359058097340408,0.7827785270606,0.10685305046309,0.657479809919479,"FALSE",-0.0368991254784956,0.0222106863731022,0.16915154794305,-0.218142405004292,-0.000163777630108655,0.00466160667189323,0.0355017387219202,-0.00461322842217674,"TRUE"
"AEG","Absolute Equity Performance Fund Ltd","97,147,100",0.00114891793908312,-0.116270957229463,0.908247066000543,5.13663974806855e-06,"FALSE",0.000194040052901391,0.00984352141550244,0.0702968036736395,0.0027602969517966,2.43269087835264e-05,0.000692417396787271,0.0052732937884848,0.0046132284221768,"TRUE"
"AFI","Australian Foundation Investment Company Ltd","6,838,560,000",-0.0011097210942112,0.044678910233146,0.968162789765277,0.126351713103426,"FALSE",-0.00194860719880091,0.0274368396984398,0.208952745885277,-0.00932558790048525,-9.34799024354862e-06,0.000266072073818688,0.0020263445440098,-0.00461322842217666,"TRUE"
"AGM","Australian Governance & Ethical INDEX Fund","26,766,000",-0.00462954924727507,1.02594953569644,0.252931215704406,0.682544460548239,"FALSE",-0.0131190473617716,0.0151552682194515,0.0677764199118716,-0.19356359304357,-0.000214655330669831,0.00610973990125569,0.0465303928238067,-0.00461322842217668,"TRUE"
"AIB","Aurora Global Income Trust","766,347",-0.0348540523190753,-0.727551292244043,0.0839276048426019,0.000242522602005607,"FALSE",-0.0355313677774504,0.0201049756519354,0.153114932864059,-0.23205684196065,0.000152222655970985,0.00433271716178133,0.0329969908360092,0.00461322842217679,"TRUE"
"AIQ","Alternative Investment Trust","27,586,900",-0.00435603487664772,-0.3335000449349,0.936395211827612,0.274606220524067,"FALSE",-0.00511579610632937,0.0538984923823575,0.410478688732169,-0.0124630005083342,6.97768846645171e-05,0.00198606116647457,0.0151253912182377,0.00461322842217676,"TRUE"
"AIY","Authorised Investment Fund Ltd","12,660,500",0,0,0,0,"FALSE",-0.000829538114346162,0,NA,NA,0,0,0,NA,NA
"ALF","Australian Leaders Fund Ltd","207,569,000",-0.00618798329483925,0.291423938497416,0.684650296046418,0.0400789584491703,"FALSE",-0.0070784948778666,0.0151237016691905,0.11517868043333,-0.0614566415523742,-6.09734686811892e-05,0.00173548932307872,0.0132170929122169,-0.00461322842217671,"TRUE"
